latitude,longitude,CAMS_no2_conc_high,CAMS_no2_conc,ERA5_skt,ERA5_blh,ERA5_tp,ERA5_windspeed,ERA5_t2m,ERA5_uvb,OSM_sum_highway_score,OSM_max_highway_score,road_traffic,HDX_population_density_frequency
43.516808,1.3362468,-2.0136557,0.301018,-1.8880463,-0.26400414,0.254302,0.20795219,-0.34033787,0.8866141,-0.22937089,-0.5686548,-0.53693134,-4.5000906
43.516808,1.3439862,-1.6624811,-0.9040509,-1.9349669,-0.030366922,-0.08465822,-0.5002211,-0.29916036,0.66274494,0.38950792,-0.24265085,-0.31648332,-4.5627365
43.516808,1.3517255,-1.0525948,-0.6833657,-1.7336069,-0.05790795,0.85859907,-2.8233528,-0.1557105,0.8843896,-0.87045366,0.7124404,-0.666718,-4.831813
43.516808,1.3594646,-1.1125551,-0.54955107,-1.7907655,0.036165554,0.75556946,-2.90033,-0.045441024,0.90182704,3.4785688,0.23235984,-0.83551204,2.9188585
43.516808,1.367204,-1.4024616,-0.2867576,-2.1662061,-0.49732858,0.26656058,-0.2581544,-0.4353566,0.80763096,-0.90450364,-3.919614,-0.6998082,-7.5590053
43.524548,1.3207684,-1.8065434,-1.6108129,-1.8683718,-0.61266446,0.5597073,0.20771195,-0.123560406,0.7195225,-2.0393834,-0.32424903,-0.7238888,-3.5960114
43.524548,1.3285077,-2.153831,-1.1966735,-1.8653628,-0.61292785,0.6518972,0.10600884,-0.059828557,0.7881817,-0.9123738,-0.661647,-0.75717294,-2.7042801
43.524548,1.3362468,-1.9252607,-0.06761199,-1.8391681,-0.6564414,0.5841269,0.45419767,-0.07865272,0.87804866,4.3102775,-1.8749522,-0.70790285,-2.9866006
43.524548,1.3439862,-1.5006322,-0.57889235,-1.9211847,-0.7178769,0.57852507,0.600125,-0.05494628,1.3333006,1.2772821,-0.98277783,-0.68834984,-3.7773368
43.524548,1.3517255,-1.1281397,-0.347014,-1.7954865,-0.117022745,0.76276374,-0.2678623,0.051846035,0.984726,2.8795457,-0.7408795,-0.8227767,2.445035
43.524548,1.3594646,-1.0914836,0.2388147,-1.820597,-0.055882636,0.7567793,-0.20962887,-0.028886596,0.98086745,-0.025307676,-4.021214,-0.7132242,-3.7412488
43.524548,1.367204,-1.0266355,0.034228206,-1.1938157,-0.267016,0.5893477,0.31527284,0.050465927,1.0485553,-0.38084614,-0.46002197,-1.6791897,-5.259223
43.524548,1.3749433,-1.2849579,-0.107801184,-1.9149698,-0.928445,0.4171654,0.74460953,-0.47574162,1.2271727,-0.9733827,0.20473276,0.10852282,-9.897384
43.532288,1.313029,-0.7304039,-0.8407037,-1.4815402,-0.17566845,0.90344226,0.07480491,-0.2617068,1.1391395,-2.8189526,0.19647856,-0.50538075,-5.2221727
