cityName,mfcTypeLabel,dateRetrieved,objectCoordinates
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.1817845115808 25.226295050926147, 43.181772720875344 25.226311220601257, 43.18169018587348 25.22637050941001, 43.181682325391264 25.22637050941001, 43.18167446490809 25.226381289193423, 43.18165874393865 25.226381289193423, 43.18164302296515 25.22637050941001, 43.181631232232384 25.226365119518306, 43.18162337174261 25.226365119518306, 43.18160372051372 25.226381289193423, 43.18159192977338 25.22639206897683, 43.181584069278536 25.22639206897683, 43.18157620878271 25.226381289193423, 43.1815762087827 25.226375899301715, 43.181564418037006 25.226359729626605, 43.18154869703925 25.226327390276374, 43.181536906288265 25.22630044081785, 43.18152118528341 25.226251931792508, 43.18150153402163 25.226214202550576, 43.181497603768534 25.226192642983758, 43.18147795249918 25.22614952385012, 43.18147402224453 25.2261279642833, 43.18146616173452 25.226106404716482, 43.181442580198386 25.226057895691138, 43.18140327761794 25.22595548774875, 43.18139934735849 25.22593392818193, 43.18139148683887 25.22591236861511, 43.181375765796545 25.225885419156587, 43.181344323699825 25.22580996067272, 43.181328602645365 25.225756061755675, 43.18131681185187 25.225729112297152, 43.18131681185187 25.22571833251374, 43.18132467238114 25.225707552730334, 43.18134825396279 25.225691383055217, 43.181375765796545 25.225675213380104, 43.18138362631823 25.225675213380104, 43.18139148683888 25.225680603271808, 43.18139541709879 25.225685993163513, 43.18140720787712 25.22571833251374, 43.18141113813604 25.22573989208056, 43.18141899865316 25.22576145164738, 43.18143078942692 25.225788401105902, 43.1814543709676 25.225826130347833, 43.18146616173453 25.22586385958977, 43.18147402224453 25.22587463937318, 43.18147402224453 25.225880029264882, 43.18147795249918 25.225885419156587, 43.18148581300768 25.22589080904829, 43.181497603768534 25.22589080904829, 43.1815054642745 25.225901588831704, 43.18151332477946 25.225917758506814, 43.18152904578634 25.22595548774875, 43.18155262728906 25.22602555634091, 43.18158013903075 25.22608484514966, 43.181603720513735 25.226144133958414, 43.18162337174261 25.226203422767163, 43.181623371742596 25.226214202550576, 43.18162730198763 25.226224982333985, 43.18164302296516 25.22623037222569, 43.18165088345241 25.226224982333985, 43.18167446490809 25.226203422767163, 43.18169018587348 25.226192642983758, 43.181701976594866 25.22618725309205, 43.181745209220466 25.22618725309205, 43.1817569999312 25.226203422767163, 43.18176093016761 25.226214202550576, 43.18176093016762 25.226224982333985, 43.181768790639694 25.226246541900803, 43.181780581345905 25.226262711575917, 43.18178451158081 25.22627349135933, 43.1817845115808 25.226295050926147))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18211072019513 25.225066155617473, 43.182106789981226 25.225076935400878, 43.18207534826097 25.225120054534518, 43.182071418044785 25.22514161410134, 43.18204390652449 25.225179343343267, 43.18203211586915 25.225179343343267, 43.18202032521152 25.225168563559862, 43.18200460433113 25.225152393884745, 43.18198102300299 25.225114664642813, 43.1819692323355 25.2250984949677, 43.18193779054437 25.225060765725768, 43.18191813941671 25.22503920615895, 43.18188276737096 25.22500686680872, 43.181851325535305 25.224969137566784, 43.1818473953047 25.22496374767508, 43.181847395304715 25.224936798216557, 43.18185525576566 25.224920628541444, 43.181918139416716 25.224834390274168, 43.181929930094064 25.22482361049076, 43.181941720769146 25.22482361049076, 43.182098929552694 25.22503920615895, 43.18211072019513 25.225066155617473))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.181045622973095 25.225400328903163, 43.18102990184174 25.225405718794867, 43.181018110990564 25.22542188846998, 43.181006320137094 25.225432668253394, 43.18099452928137 25.225427278361686, 43.180986668709615 25.225416498578277, 43.1809748778501 25.22537876933634, 43.18096701727581 25.225367989552936, 43.18096308698829 25.22535181987782, 43.180935574968565 25.225346429986114, 43.18092771438923 25.22534104009441, 43.18091985380887 25.225324870419296, 43.180915923518306 25.22530331085248, 43.18090413264511 25.22528175128566, 43.180900202353534 25.225265581610547, 43.18089627206174 25.22523863215202, 43.18088448118475 25.22520629280179, 43.180876620598816 25.225195513018384, 43.18086482971805 25.225163173668157, 43.18086482971804 25.22513622420963, 43.1808569691296 25.225109274751105, 43.1808569691296 25.225044596050648, 43.18086482971805 25.225033816267242, 43.1808569691296 25.225023036483833, 43.18084910854014 25.225023036483833, 43.18083338735817 25.225001476917015, 43.180829457062046 25.224990697133602, 43.18082552676567 25.224969137566784, 43.18081373587503 25.224974527458492, 43.18081766617215 25.22495296789167, 43.18082945706205 25.224947577999966, 43.18084910854013 25.22492601843315, 43.1808569691296 25.224920628541444, 43.180864829718054 25.224920628541444, 43.180872690305485 25.224931408324853, 43.18088055089191 25.224947577999966, 43.180896272061716 25.22499608702531, 43.180911993227504 25.225023036483833, 43.18092771438923 25.225060765725768, 43.180963086988285 25.22515778377645, 43.180970947563075 25.225184733234972, 43.1809748778501 25.225211682693494, 43.18097880813686 25.225227852368615, 43.18101025042185 25.225308700744186, 43.181018110990564 25.225324870419296, 43.18102990184174 25.22534104009441, 43.18104169269063 25.225367989552936, 43.1810456229731 25.22537876933634, 43.181045622973095 25.225400328903163))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17984687509323 25.22233348052318, 43.1798508054526 25.222344260306592, 43.179866526887565 25.22242510868216, 43.179862596529205 25.222468227815796, 43.17985473581172 25.222473617707504, 43.179842944733586 25.22247900759921, 43.17980757148557 25.22248439749091, 43.17978398930882 25.222500567166026, 43.17977219821704 25.222500567166026, 43.179760407122984 25.22250595705773, 43.179721103459656 25.222532906516253, 43.17970931235573 25.222538296407958, 43.17969359088029 25.222538296407958, 43.17968179977104 25.222532906516253, 43.17967393903025 25.22252751662455, 43.179658217545715 25.22250595705773, 43.179658217545715 25.22246283792409, 43.17966214791721 25.22242510868216, 43.1796660782885 25.222414328898747, 43.17967393903026 25.222403549115338, 43.17969752124951 25.222387379440224, 43.17971717309192 25.22238198954852, 43.17974468566068 25.222365819873406, 43.17979578039834 25.222328090631475, 43.17980757148557 25.222322700739767, 43.1798193625705 25.222322700739767, 43.179823292931665 25.22231731084807, 43.17983115365319 25.22231731084807, 43.1798390143737 25.222322700739767, 43.17984687509323 25.22233348052318))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18258627420908 25.222834740451717, 43.18258234402582 25.22286168991024, 43.18257841384228 25.222867079801947, 43.18257841384228 25.222883249477064, 43.182570553474456 25.222883249477064, 43.18256662329014 25.22288863936876, 43.1825273214333 25.22288863936876, 43.18248801955115 25.222899419152174, 43.18243692706651 25.22290480904388, 43.182389764735056 25.22290480904388, 43.182374043949814 25.22289402926047, 43.18235832316051 25.22289402926047, 43.18235046276434 25.22288863936876, 43.182338672168214 25.22287246969365, 43.18233474196897 25.22285091012683, 43.18233081176951 25.222823960668308, 43.18233081176952 25.22280240110149, 43.18235046276436 25.22279162131808, 43.1824172760995 25.222780841534668, 43.18246050821859 25.222780841534668, 43.18249587992958 25.222770061751262, 43.18253518180669 25.222764671859558, 43.18257841384227 25.222764671859558, 43.18257841384228 25.22279162131808, 43.182582344025825 25.222797011209785, 43.18258627420908 25.222834740451717))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.180664384396394 25.224462487746543, 43.180656523782154 25.224467877638247, 43.18063687224208 25.224478657421653, 43.18062901162428 25.224478657421653, 43.18061722069567 25.224462487746543, 43.18060149945401 25.22439241915438, 43.18059756914297 25.22438163937097, 43.18056612664545 25.22430618088711, 43.18052289318494 25.224209162836416, 43.18051110223584 25.224192993161306, 43.18049538096685 25.22413909424426, 43.18048752033083 25.22412831446085, 43.180487520330836 25.22411753467744, 43.18048359001246 25.22410675489403, 43.18047179905576 25.224090585218917, 43.18046786873637 25.224079805435505, 43.18046786873637 25.224063635760395, 43.18047179905576 25.224058245868687, 43.18047179905576 25.224036686301872, 43.180475729374905 25.22402590651846, 43.1804796596938 25.224020516626755, 43.18048752033082 25.22401512673505, 43.18049931128448 25.22401512673505, 43.18051503255248 25.224036686301872, 43.180522893184936 25.224052855976982, 43.18054254476169 25.22410675489403, 43.18056219633212 25.22413909424426, 43.180570056958516 25.22415526391937, 43.180577917583925 25.224182213377894, 43.18060936007536 25.224241502186647, 43.18062508131501 25.224279231428582, 43.18063687224207 25.22432235056222, 43.18065652378216 25.224365469695858, 43.18066438439641 25.224387029262676, 43.1806761753159 25.224424758504608, 43.180676175315895 25.224446318071433, 43.180664384396394 25.224462487746543))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18185918599573 25.22785811952052, 43.181851325535305 25.227874289195626, 43.181851325535305 25.227901238654148, 43.18184346507388 25.22791201843756, 43.181827744147945 25.227917408329265, 43.18180809298486 25.227906628545856, 43.18180023251784 25.22789584876245, 43.181796302283956 25.22787967908733, 43.18179630228398 25.22785811952052, 43.18179237204983 25.2278419498454, 43.18178451158081 25.22782039027858, 43.18175699993122 25.227815000386876, 43.1817216277921 25.227831170061993, 43.18168625563251 25.227836559953698, 43.18165088345241 25.227852729628808, 43.18163516247693 25.22785811952052, 43.18162337174262 25.22785811952052, 43.18161551125182 25.227852729628808, 43.18160765076003 25.227831170061993, 43.18160372051373 25.227815000386876, 43.181603720513735 25.227804220603467, 43.18161944149736 25.22778266103665, 43.18162730198764 25.22777727114494, 43.18165481369566 25.227771881253236, 43.18167839514981 25.22776110146983, 43.18169804635463 25.227744931794714, 43.1817216277921 25.22773954190301, 43.18173341850741 25.22773415201131, 43.18174127898304 25.227728762119604, 43.18175306969455 25.227712592444483, 43.18174913945764 25.22767486320255, 43.181780581345905 25.22766947331085, 43.18180023251785 25.22766947331085, 43.181819883683474 25.22773415201131, 43.181823813915834 25.227744931794714, 43.181835604611415 25.22776110146983, 43.18184346507387 25.22777727114494, 43.18184346507387 25.22779344082006, 43.18185132553531 25.22780961049517, 43.181855255765655 25.227825780170285, 43.181855255765655 25.2278419498454, 43.18185918599573 25.227847339737103, 43.18185918599573 25.22785811952052))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18249981011845 25.22369712312447, 43.18248408936154 25.22369712312447, 43.18247622898156 25.22369173323277, 43.182436927066526 25.223637834315724, 43.1824369270665 25.223632444424016, 43.18242906668046 25.223621664640604, 43.18242513648707 25.223610884857198, 43.18241727609949 25.22357854550697, 43.182413345905346 25.22355698594015, 43.1824172760995 25.2234976971314, 43.182417276099514 25.22347613756458, 43.18240548551625 25.223433018430942, 43.18240155532134 25.22340606897242, 43.182401555321334 25.22337372962219, 43.18240941571093 25.223368339730488, 43.182440857259145 25.223357559947075, 43.18245657802721 25.223357559947075, 43.18246443840968 25.223368339730488, 43.18246836860058 25.223389899297302, 43.182468368600574 25.223411458864124, 43.182472298791204 25.223427628539234, 43.18248801955114 25.223449188106056, 43.182491949740495 25.223459967889465, 43.182495879929604 25.22347613756458, 43.1824958799296 25.2234976971314, 43.18250374030704 25.223519256698214, 43.18250374030704 25.223540816265036, 43.18250767049538 25.22355698594015, 43.182511600683476 25.22356776572356, 43.1825273214333 25.223589325290376, 43.18253125162013 25.22360010507379, 43.1825351818067 25.2236162747489, 43.18253518180669 25.223664783774247, 43.18252339124622 25.223680953449357, 43.18249981011845 25.22369712312447))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.182751341678475 25.23360913396945, 43.18274348133291 25.23360913396945, 43.182735620986335 25.233603744077747, 43.18273169081266 25.233598354186036, 43.18273169081267 25.23359296429433, 43.182723830464575 25.233582184510926, 43.182723830464575 25.23354445526899, 43.182731690812666 25.233522895702173, 43.182731690812666 25.23345821700171, 43.18272383046458 25.233425877651484, 43.182723830464575 25.233371978734443, 43.18271597011546 25.23335041916762, 43.18270417958991 25.23333424949251, 43.182692389062055 25.233301910142277, 43.182684528708904 25.233274960683755, 43.182680598531945 25.233258791008648, 43.18268059853196 25.233248011225232, 43.18268452870891 25.23322106176671, 43.182688458885615 25.233210281983297, 43.182696319238254 25.233199502199888, 43.182708109765365 25.23318872241648, 43.18271597011547 25.233183332524774, 43.18272383046458 25.23318872241648, 43.182727760638755 25.233194112308183, 43.18273169081266 25.233204892091596, 43.18273562098631 25.233231841550122, 43.18274741150582 25.233248011225232, 43.18276313219493 25.233291130358865, 43.18276706236657 25.233307300033985, 43.182770992537954 25.2333288596008, 43.1827749227091 25.233371978734443, 43.182786713221 25.23341509786808, 43.18278671322099 25.2334366574349, 43.18279850373058 25.233468996785124, 43.18281422440657 25.233490556351946, 43.182818154574896 25.233501336135358, 43.182818154574896 25.233528285593884, 43.18278671322099 25.233571404727513, 43.18275920202303 25.233603744077747, 43.182751341678475 25.23360913396945))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18147402224455 25.226623834320133, 43.18145830122349 25.22661844442843, 43.18144651045504 25.22662922421184, 43.181438649941484 25.22662922421184, 43.181415068394735 25.22660227475332, 43.18140720787712 25.226591494969906, 43.18140327761795 25.226564545511383, 43.18139148683887 25.22653759605286, 43.18138755657866 25.226521426377744, 43.18138755657866 25.22649447691922, 43.18137576579657 25.226462137568994, 43.181379696057526 25.22642440832706, 43.18137576579655 25.22640284876024, 43.18136397501219 25.226359729626605, 43.181348253962796 25.22630583070956, 43.181340393436585 25.22628966103444, 43.181328602645365 25.22627349135933, 43.18131681185187 25.226246541900803, 43.18130895132161 25.226224982333985, 43.181312881586884 25.226208812658868, 43.18132467238112 25.226198032875462, 43.18134825396279 25.226181863200345, 43.18136397501219 25.22618725309205, 43.181371835535344 25.226208812658868, 43.18138362631822 25.226257321684212, 43.18140327761794 25.22630044081785, 43.18141113813604 25.22634355995149, 43.181434719684326 25.22641362854365, 43.181450440711444 25.22649447691922, 43.18146223147912 25.22652681626945, 43.18147402224453 25.2265861050782, 43.18147402224455 25.226623834320133))"
