cityName,mfcTypeLabel,dateRetrieved,objectCoordinates
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17390802887187 25.20008057331281, 43.173911941035996 25.20010203098439, 43.17390802887187 25.20011812423808, 43.17389238021296 25.20013958190966, 43.17388455588199 25.20014494632756, 43.17386499505021 25.20014494632756, 43.17386108288311 25.20013421749177, 43.17386108288311 25.200107395402288, 43.17386890721708 25.200096666566502, 43.173872819383696 25.20008057331281, 43.173880643716146 25.20007520889492, 43.173888468047615 25.20007520889492, 43.17390802887187 25.20008057331281))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17394323833981 25.199935734029644, 43.17394323833982 25.19996255611912, 43.1739393261777 25.19997328495491, 43.17392367752681 25.19999474262649, 43.17390020454294 25.200010835880178, 43.173884555882 25.20001620029807, 43.17386890721708 25.20001620029807, 43.17385717071575 25.200010835880178, 43.173849346380266 25.200005471462283, 43.17384406878202 25.199998234748342, 43.173843718671186 25.199905899895047, 43.17384543421215 25.199903547522272, 43.17385325854813 25.199898183104377, 43.173908028871885 25.199898183104377, 43.17391976536344 25.199903547522272, 43.17393541401536 25.19991964077596, 43.17394323833981 25.199935734029644))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17401756937207 25.222707687994678, 43.17401365721472 25.22271841683047, 43.1740058328993 25.22272914566626, 43.173982359947004 25.222750603337836, 43.17393932617771 25.222750603337836, 43.17393032451249 25.22274648893029, 43.17392972989709 25.222589670800982, 43.17393932617771 25.222589670800982, 43.1739549748246 25.22259503521888, 43.17396671130714 25.222600399636775, 43.17398627210635 25.22261649289046, 43.17399800858286 25.222621857308358, 43.174001920741226 25.222632586144144, 43.17400192074122 25.222654043815727, 43.17400583289928 25.22267550148731, 43.174013657214715 25.222691594740994, 43.17401756937207 25.222707687994678))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17403713015498 25.222922264710483, 43.174021481529145 25.22294372238207, 43.174009745057134 25.22294908679996, 43.174001920741226 25.22294908679996, 43.173990184265435 25.22294372238207, 43.173982359947004 25.222932993546276, 43.17397453562757 25.222932993546276, 43.17396279914656 25.222922264710483, 43.17394323833981 25.222900807038904, 43.1739393261777 25.222900807038904, 43.173935414015354 25.22289544262101, 43.17393150185276 25.222884713785223, 43.173931501852756 25.222841798442058, 43.17393541401536 25.22283106960627, 43.1739393261777 25.222825705188374, 43.173947150501654 25.222820340770475, 43.17396671130713 25.222809611934686, 43.17397844778741 25.22280424751679, 43.17399800858286 25.22280424751679, 43.174013657214715 25.22281497635258, 43.17402930584257 25.222847162859953, 43.174033217998904 25.222857891695742, 43.17404104231082 25.222890078203115, 43.17404104231082 25.222911535874694, 43.17403713015498 25.222922264710483))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174064515240566 25.200380980714943, 43.17406842739464 25.200418531640207, 43.17406060308623 25.200429260476003, 43.17405669093165 25.200429260476003, 43.1740449544664 25.200445353729684, 43.17404495446641 25.20045608256548, 43.174048866621746 25.20049363349074, 43.174037130154986 25.200509726744425, 43.174021481529145 25.200520455580218, 43.17400974505715 25.200520455580218, 43.17399800858286 25.20050436232653, 43.17399800858286 25.200466811401263, 43.17400192074122 25.20045608256548, 43.17400974505713 25.200450718147582, 43.17401756937206 25.200450718147582, 43.174044954466396 25.200429260476003, 43.17405669093165 25.200413167222322, 43.174064515240566 25.200380980714943))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17406842739462 25.22252529778624, 43.17407233954846 25.222536026622038, 43.17406842739463 25.222557484293613, 43.174064515240566 25.222573577547298, 43.17406060308623 25.22258430638309, 43.174048866621746 25.222600399636775, 43.17403713015498 25.222611128472565, 43.174021481529145 25.222611128472565, 43.17401756937206 25.222589670800982, 43.174021481529145 25.222557484293613, 43.174025393685994 25.22255211987572, 43.174025393685994 25.222530662204136, 43.17403321799892 25.22252529778624, 43.17405669093166 25.22251993336835, 43.17406842739462 25.22252529778624))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174087988161276 25.2326962341155, 43.174091900313854 25.232712327369185, 43.17408407600844 25.232733785040768, 43.174080163855365 25.232760607130242, 43.174080163855365 25.232792793637614, 43.174076251702054 25.232803522473404, 43.17406842739463 25.232814251309197, 43.17406842739464 25.23281961572709, 43.174064515240566 25.23282498014499, 43.17406060308623 25.23282498014499, 43.174052778776826 25.232835708980776, 43.174033217998904 25.232846437816566, 43.17400974505714 25.232846437816566, 43.173986272106355 25.23283034456288, 43.17397453562756 25.232814251309197, 43.173970623467476 25.232803522473404, 43.17396841229989 25.23279139451756, 43.17396828736734 25.232758446010855, 43.173970623467476 25.23275524271235, 43.17397062346749 25.232744513876558, 43.173978447787405 25.232733785040768, 43.173986272106355 25.232728420622873, 43.1740058328993 25.232723056204982, 43.174013657214715 25.232712327369185, 43.17404104231082 25.2326962341155, 43.17405277877682 25.232690869697606, 43.174080163855365 25.232690869697606, 43.174087988161276 25.2326962341155))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17408407600844 25.22397905503584, 43.174091900313854 25.224021970379003, 43.17408407600844 25.22403269921479, 43.17406842739464 25.22403269921479, 43.17406060308623 25.224027334796894, 43.17406060308623 25.224016605961104, 43.17405669093166 25.22401124154321, 43.17405669093166 25.22399514828952, 43.17406451524055 25.223984419453732, 43.17407233954846 25.22397905503584, 43.17408407600844 25.22397905503584))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17409190031384 25.23402124533561, 43.17409581246619 25.234037338589296, 43.174099724618245 25.234058796260875, 43.174099724618245 25.23411244043983, 43.174095812466184 25.234128533693514, 43.174091900313854 25.234139262529308, 43.17406842739463 25.234171449036676, 43.17405277877683 25.23418217787247, 43.174037130154986 25.23418217787247, 43.174025393686 25.23417681345457, 43.17401756937206 25.23416608461878, 43.174009745057134 25.234160720200887, 43.173982359947004 25.234160720200887, 43.17397359304736 25.23415771487175, 43.17397310233744 25.234028299773428, 43.17399800858287 25.234015880917713, 43.17401365721472 25.23401051649982, 43.174033217998904 25.23400515208193, 43.17407233954846 25.23400515208193, 43.17408407600844 25.23401051649982, 43.17409190031384 25.23402124533561))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174099724618245 25.233575998650313, 43.174095812466184 25.2335867274861, 43.174087988161276 25.233597456321895, 43.17407233954846 25.23360282073979, 43.174029305842566 25.233597456321895, 43.174021481529145 25.233570634232418, 43.17401756937206 25.233549176560835, 43.17401756937206 25.23353308330715, 43.174021481529145 25.233522354471358, 43.17403321799891 25.233506261217673, 43.17406060308623 25.233506261217673, 43.17407625170204 25.233516990053463, 43.17408016385538 25.233522354471358, 43.17408407600844 25.23353844772505, 43.174099724618245 25.23355990539663, 43.174099724618245 25.233575998650313))"
