43.193454721226395 25.164992320831985, 43.19346166786693 25.16496800819311, 43.19347945641161 25.164977502570764, 43.19358903546023 25.165319192137716, 43.19358208874537 25.165343504790364, 43.19356430022914 25.165334010290408, 43.193454721226395 25.164992320831985
43.193191352948666 25.164661269358362, 43.193190204743985 25.164635215974737, 43.19320926700227 25.16463364665886, 43.19345479574239 25.16493109536632, 43.19345594388176 25.164957148870243, 43.1934368816181 25.16495871809447, 43.193191352948666 25.164661269358362
43.19314146152183 25.168904566845754, 43.19312397783534 25.168915065922814, 43.19311629605586 25.16889117008469, 43.19322024249484 25.16852641894819, 43.193237726143046 25.168515919743893, 43.19324540800079 25.16853981557914, 43.19314146152183 25.168904566845754
43.19138512297857 25.172347972701587, 43.191366309158376 25.172352449622473, 43.19136303346717 25.172326736568003, 43.19151588081966 25.172029758521873, 43.191534694624764 25.172025281489745, 43.19153797038468 25.172050994597573, 43.19138512297857 25.172347972701587
43.19130923846924 25.174084314660483, 43.191316142053566 25.1740599798989, 43.19133394741491 25.17406941509504, 43.191440454153714 25.174399338492098, 43.19143355049752 25.174423673267754, 43.191415745163546 25.174414237953215, 43.19130923846924 25.174084314660483
43.191260216991076 25.172786344681306, 43.191242785444416 25.172797004241474, 43.19123498600341 25.172773180405105, 43.191327667311036 25.172441374533072, 43.191345098822204 25.172430714857168, 43.1913528983344 25.172454538689855, 43.191260216991076 25.172786344681306
43.191434071239954 25.180673438386926, 43.19144687679174 25.18065407589244, 43.19146104399349 25.180671577406365, 43.191497911715075 25.181669819300666, 43.19148510598785 25.181689181604984, 43.19147093893752 25.18167167984361, 43.191434071239954 25.180673438386926
43.19038804263797 25.16327969919545, 43.19036896287377 25.16327859672775, 43.19036976954138 25.163252520632263, 43.19099600845981 25.16246606996177, 43.191015088225434 25.162467172180584, 43.191014281742234 25.162493248555474, 43.19038804263797 25.16327969919545
43.19085890617898 25.18518080478958, 43.19086575420704 25.185156440811614, 43.19088358107804 25.18516580000888, 43.191045925061445 25.18566447046744, 43.1910365327377 25.18572641864421, 43.19085890617898 25.18518080478958
43.19057261827746 25.185870688974134, 43.19058052352921 25.18584693051589, 43.19059790742969 25.185857734570174, 43.190867548874834 25.186840971601832, 43.190857280412416 25.186908698454374, 43.19057261827746 25.185870688974134
43.190688121474544 25.184550126431947, 43.19069688314127 25.18452693581921, 43.19071385152062 25.18453891035353, 43.19082215044161 25.185002968097322, 43.190813388678144 25.18502615869324, 43.19079642034732 25.18501418400361, 43.190688121474544 25.184550126431947
