,Season,Date
0,Spring_2015,['2015-04-13']
1,Summer_2015,"['2015-08-03', '2015-08-26']"
2,Autumn_2015,['2015-09-20']
3,Summer_2016,"['2016-07-04', '2016-08-12']"
4,Autumn_2016,"['2016-09-06', '2016-09-22', '2016-09-29']"
5,Spring_2017,"['2017-03-17', '2017-05-27']"
6,Autumn_2017,['2017-10-11']
7,Spring_2018,['2018-04-21']
8,Summer_2018,"['2018-07-01', '2018-07-26', '2018-08-02', '2018-08-11', '2018-08-27']"
9,Autumn_2018,"['2018-09-03', '2018-09-19', '2018-09-28', '2018-10-05']"
10,Winter_2019,['2019-02-26']
11,Spring_2019,['2019-05-01']
12,Summer_2019,"['2019-06-27', '2019-07-04', '2019-07-29', '2019-08-14', '2019-08-30']"
13,Winter_2020,"['2020-02-06', '2020-02-22']"
14,Spring_2020,"['2020-05-19', '2020-05-28']"
15,Summer_2020,"['2020-07-31', '2020-08-07']"
16,Autumn_2020,"['2020-09-08', '2020-09-17']"
17,Spring_2021,['2021-03-28']
18,Summer_2021,['2021-08-26']
19,Winter_2021,['2021-12-17']
20,Winter_2022,['2022-01-01']
21,Summer_2022,"['2022-06-11', '2022-06-18', '2022-07-12', '2022-07-13', '2022-07-21', '2022-08-30']"
22,Autumn_2022,['2022-10-09']
23,Spring_2023,['2023-04-19']
24,Summer_2023,"['2023-08-08', '2023-08-09']"
25,Autumn_2023,"['2023-09-10', '2023-09-25', '2023-09-26', '2023-10-12']"
