,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages,date,type_uh
1.0,0.8,-4.36,3.07,,8.1882,0.9506345051695585,2015-04-13,uh_wavg
2.0,5.55,3.07,6.62,4.75,114.29639999999999,13.269595473567076,2015-04-13,uh_wavg
3.0,7.6,6.62,8.48,2.05,164.8134,19.134523455009955,2015-04-13,uh_wavg
4.0,9.29,8.48,10.09,1.6899999999999995,168.4377,19.555297817761968,2015-04-13,uh_wavg
5.0,10.9,10.09,11.75,1.6100000000000012,166.38389999999998,19.316855529259335,2015-04-13,uh_wavg
6.0,12.67,11.75,13.88,1.7699999999999996,153.4698,17.81755298862645,2015-04-13,uh_wavg
7.0,15.1,13.88,17.0,2.4299999999999997,70.8723,8.22813974264533,2015-04-13,uh_wavg
8.0,18.54,17.0,34.07,3.4399999999999995,14.8788,1.7274004879603364,2015-04-13,uh_wavg
1.0,-1.05,-8.59,1.06,,14.269499999999999,1.6566740296623539,2015-08-03,uh_wavg
2.0,3.05,1.06,4.35,4.1,94.1364,10.929137610000856,2015-08-03,uh_wavg
3.0,5.58,4.35,6.65,2.5300000000000002,109.6434,12.729484095720336,2015-08-03,uh_wavg
4.0,7.66,6.65,8.52,2.08,147.6045,17.13672811319927,2015-08-03,uh_wavg
5.0,9.41,8.52,10.25,1.75,189.2205,21.968302199076735,2015-08-03,uh_wavg
6.0,11.14,10.25,12.24,1.7300000000000004,186.7671,21.683465024377295,2015-08-03,uh_wavg
7.0,13.29,12.24,14.92,2.1499999999999986,97.8813,11.363916584294458,2015-08-03,uh_wavg
8.0,16.47,14.92,32.03,3.1799999999999997,21.8115,2.5322923436686944,2015-08-03,uh_wavg
1.0,-0.86,-5.4,0.75,,12.3714,1.543365470874675,2015-08-26,uh_wavg
2.0,2.12,0.75,3.13,2.98,54.7848,6.834551356255145,2015-08-26,uh_wavg
3.0,4.15,3.13,4.98,2.0300000000000002,74.5956,9.30600201425699,2015-08-26,uh_wavg
4.0,5.88,4.98,6.6,1.7299999999999995,130.3281,16.25878149802785,2015-08-26,uh_wavg
5.0,7.36,6.6,8.07,1.4800000000000004,187.2945,23.365493330159627,2015-08-26,uh_wavg
6.0,8.76,8.07,9.55,1.3999999999999995,177.72299999999998,22.171422925478105,2015-08-26,uh_wavg
7.0,10.33,9.55,11.37,1.5700000000000003,114.5115,14.285618047922252,2015-08-26,uh_wavg
8.0,12.52,11.37,25.29,2.1899999999999995,49.977,6.234765357025367,2015-08-26,uh_wavg
1.0,3.8,-1.61,4.8,,55.285199999999996,6.446298163852332,2015-09-20,uh_wavg
2.0,5.87,4.8,6.69,2.0700000000000003,81.2331,9.471843881798977,2015-09-20,uh_wavg
3.0,7.55,6.69,8.22,1.6799999999999997,150.2046,17.51397547955283,2015-09-20,uh_wavg
4.0,8.9,8.22,9.54,1.3500000000000005,216.1323,25.201197583425245,2015-09-20,uh_wavg
5.0,10.19,9.54,10.91,1.2899999999999991,204.3783,23.830671861931606,2015-09-20,uh_wavg
6.0,11.57,10.91,12.65,1.3800000000000008,104.6961,12.207648289099076,2015-09-20,uh_wavg
7.0,13.66,12.65,15.35,2.09,37.1502,4.331742781915357,2015-09-20,uh_wavg
8.0,17.28,15.35,30.57,3.620000000000001,8.5473,0.9966219584245881,2015-09-20,uh_wavg
1.0,4.67,-0.98,6.14,,48.504599999999996,5.631180359934132,2016-07-04,uh_wavg
2.0,7.82,6.14,9.01,3.1500000000000004,83.5848,9.703844257019385,2016-07-04,uh_wavg
3.0,10.39,9.01,11.6,2.5700000000000003,172.0548,19.974839718137975,2016-07-04,uh_wavg
4.0,12.87,11.6,14.23,2.4799999999999986,167.7798,19.47853017144099,2016-07-04,uh_wavg
5.0,15.58,14.24,16.9,2.710000000000001,157.0716,18.235353121630318,2016-07-04,uh_wavg
6.0,18.15,16.9,19.6,2.5699999999999985,150.9624,17.526100657845245,2016-07-04,uh_wavg
7.0,20.95,19.6,23.19,2.8000000000000007,67.0716,7.786731085904392,2016-07-04,uh_wavg
8.0,25.27,23.19,41.28,4.32,14.328,1.6634206280875679,2016-07-04,uh_wavg
1.0,3.5,-7.98,5.14,,41.2524,4.993316607603707,2016-08-12,uh_wavg
2.0,6.78,5.14,8.24,3.2800000000000002,75.0681,9.086472312671647,2016-08-12,uh_wavg
3.0,9.81,8.24,11.13,3.0300000000000002,112.8519,13.659938972511485,2016-08-12,uh_wavg
4.0,12.45,11.13,13.62,2.639999999999999,156.4236,18.93399074238491,2016-08-12,uh_wavg
5.0,14.63,13.62,15.62,2.1800000000000015,159.1218,19.260589118979638,2016-08-12,uh_wavg
6.0,16.56,15.62,17.61,1.929999999999998,137.4237,16.63418476230109,2016-08-12,uh_wavg
7.0,18.78,17.61,20.28,2.2200000000000024,100.4238,12.155603754900882,2016-08-12,uh_wavg
8.0,21.83,20.28,38.11,3.049999999999997,43.586999999999996,5.275903728646643,2016-08-12,uh_wavg
1.0,5.55,-0.5,7.15,,61.055099999999996,7.088307359556138,2016-09-06,uh_wavg
2.0,8.77,7.15,10.02,3.2199999999999998,81.91709999999999,9.510320723469393,2016-09-06,uh_wavg
