,season_year,temperature_class,type_uh,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages
0,Autumn_2015,1.0,uh_req,,,,,8.0946,0.8472532565649411
1,Autumn_2015,1.0,uh_wavg,3.8,-1.61,4.8,,55.2852,6.446298163852332
2,Autumn_2015,2.0,uh_wavg,5.87,4.8,6.69,2.0700000000000003,81.2331,9.471843881798977
3,Autumn_2015,3.0,uh_wavg,7.55,6.69,8.22,1.6799999999999995,150.2046,17.51397547955283
4,Autumn_2015,4.0,uh_wavg,8.9,8.22,9.54,1.3500000000000003,216.1323,25.201197583425245
5,Autumn_2015,5.0,uh_wavg,10.19,9.54,10.91,1.2899999999999991,204.3783,23.83067186193161
6,Autumn_2015,6.0,uh_wavg,11.57,10.91,12.65,1.3800000000000008,104.6961,12.207648289099076
7,Autumn_2015,7.0,uh_wavg,13.66,12.65,15.35,2.09,37.1502,4.331742781915357
8,Autumn_2015,8.0,uh_wavg,17.28,15.35,30.57,3.620000000000001,8.5473,0.996621958424588
9,Autumn_2016,1.0,uh_req,,,,,10.725900000000001,1.122668656214007
10,Autumn_2016,1.0,uh_wavg,3.216666666666667,-2.04,4.67,,44.6547,5.206739950729262
11,Autumn_2016,2.0,uh_wavg,6.126666666666666,4.67,7.213333333333334,2.91,73.34009999999999,8.63626436071533
12,Autumn_2016,3.0,uh_wavg,8.236666666666666,7.213333333333334,9.02,2.11,111.90749999999998,13.176491830640616
13,Autumn_2016,4.0,uh_wavg,9.743333333333334,9.02,10.39,1.5066666666666666,149.92260000000002,17.719035551596683
14,Autumn_2016,5.0,uh_wavg,11.053333333333333,10.39,11.75,1.3099999999999998,172.55010000000001,20.420886346724135
15,Autumn_2016,6.0,uh_wavg,12.473333333333334,11.75,13.306666666666667,1.4200000000000002,145.4766,17.23213355876867
16,Autumn_2016,7.0,uh_wavg,14.113333333333335,13.306666666666667,15.156666666666666,1.64,105.99119999999999,12.587425987681717
17,Autumn_2016,8.0,uh_wavg,16.203333333333333,15.156666666666666,29.900000000000002,2.09,42.183600000000006,5.021022413143597
18,Autumn_2017,1.0,uh_req,,,,,6.0858,0.6369942762833145
19,Autumn_2017,1.0,uh_wavg,-0.74,-7.54,0.05,,44.8425,5.206493775196504
20,Autumn_2017,2.0,uh_wavg,0.77,0.05,1.31,1.51,70.2909,8.161211647498687
21,Autumn_2017,3.0,uh_wavg,1.91,1.31,2.38,1.14,135.35819999999998,15.715930773748193
22,Autumn_2017,4.0,uh_wavg,2.9,2.38,3.38,0.99,206.5869,23.986026847012155
23,Autumn_2017,5.0,uh_wavg,3.86,3.38,4.4,0.96,196.8012,22.849846077966266
24,Autumn_2017,6.0,uh_wavg,4.93,4.4,5.61,1.0699999999999998,134.1963,15.581026941058209
25,Autumn_2017,7.0,uh_wavg,6.22,5.61,7.25,1.29,60.9714,7.079159604505014
26,Autumn_2017,8.0,uh_wavg,8.28,7.25,16.7,2.06,12.2328,1.42030433301497
27,Autumn_2018,1.0,uh_req,,,,,7.5566249999999995,0.7909439799236586
28,Autumn_2018,1.0,uh_wavg,0.3550000000000001,-4.645,1.8125,,36.3519,4.370482938638113
29,Autumn_2018,2.0,uh_wavg,3.175,1.8125,4.2,2.8200000000000003,64.48995,7.796506389230694
